Variable Names,All,New Farm,Old Farm,Parlor,No Parlor,Pasture,No Pasture
CertYear,4,4,4,4,4,3,4
PastureTime,2,3,2,2,3,3,0
StockDen,4,1,3,4,2,3,3
CowNum,4,4,4,4,4,4,4
PplNumPerWk,4,4,3,3,3,3,4
PplNumPerShift,2,2,3,3,1,2,4
NonFamEmpNum,3,3,3,4,0,1,2
FullEmpNum,3,2,3,4,0,2,3
HoldHose,0,0,0,0,0,0,0
HoldFluSys,0,1,0,0,0,0,1
HoldManScrap,1,1,1,1,0,0,0
ParlorHose,1,2,0,0,0,1,0
ParlorManScrap,1,1,0,0,0,2,0
ParlorFluSys,0,0,0,1,0,0,2
TowelDeter,1,0,1,1,0,2,1
TowelMacDry,2,0,2,2,0,0,1
SPCvar,4,3,4,4,4,3,3
PC1,2,2,2,1,3,3,2
PC2,2,2,1,2,3,2,3
PC3,1,0,1,2,0,1,2
PC4,1,3,1,1,1,3,3
PC5,1,0,1,1,1,2,1
HouseStyle_Free.stalls,2,1,2,0,0,0,1
HouseStyle_Tie.stalls.or.stanchions,0,0,0,0,0,0,0
Bed_Other.organic,0,0,0,0,0,0,0
Bed_Straw,0,0,0,0,1,0,0
Bed_Sawdust,0,1,1,1,1,1,2
BedAdd_no,0,0,1,1,1,0,1
BedAddFreq_X...2x.per.day,0,0,0,0,2,0,0
BedAddFreq_X1x.per.day,0,1,0,0,2,0,0
StallCleanFreq_X1x.day,0,0,0,1,0,0,0
StallCleanFreq_X2x.day,1,0,1,0,0,0,0
NonFamEmp_Yes,0,2,1,2,0,1,0
PartEmp_Yes,2,0,2,2,0,2,2
Glove_Yes,0,2,0,0,0,0,0
GloveFreq_X1,1,1,1,2,0,0,0
GloveFreq_unknown,0,3,0,0,1,0,1
PreDipType_Iodine.based,1,1,2,0,1,1,1
ClipFlame_Yes,3,1,3,2,4,4,3
CowMilkLoc_Stall.barn,2,2,1,0,0,3,0
Parlor_Yes,1,3,1,0,0,2,0
CowParlorClean_Yes,0,0,0,0,4,0,0
CowWaitMilk_Yes,0,1,1,0,0,1,1
CowHoldClean_No.holding.area,1,0,1,0,0,0,1
TowelType_Paper,0,0,0,0,0,1,2
CornSilage_Yes,2,2,1,1,3,2,0
Haylage_Yes,1,0,2,1,1,1,1
CornMeal_Yes,0,0,0,0,3,0,0
DryHay_Yes,0,0,0,0,1,0,0
Baleage_Yes,0,0,0,0,1,0,0
GrassSillage_Yes,0,0,0,1,0,0,0
BioFeedAdd_Other,0,0,0,0,2,0,0
DryMatPercent_X40.70.,0,1,0,0,0,0,0
FeedPurchase_Yes,0,0,0,1,0,0,0
ClosedHerd_Yes,0,0,0,1,3,1,1
,,,,,,,
